	Kingdom	Phylum	Class	Order	Family	Genus	Species
Faecalibacterium.prausnitzii	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium.prausnitzii
uc_o_Coriobacteriales.unclassified	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	unclassified	uc_o_Coriobacteriales	uc_o_Coriobacteriales.unclassified
Odoribacter.laneus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter.laneus
uc_f_[Eubacterium] coprostanoligenes group.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	uc_f_[Eubacterium] coprostanoligenes group	uc_f_[Eubacterium] coprostanoligenes group.unclassified
Anaerotruncus.unclassified	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	Anaerotruncus.unclassified
uc_f_Leptotrichiaceae.unclassified	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	uc_f_Leptotrichiaceae	uc_f_Leptotrichiaceae.unclassified
[Ruminococcus] torques group.lactaris	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Ruminococcus] torques group	[Ruminococcus] torques group.lactaris
Campylobacter.unclassified	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter.unclassified
Collinsella.stercoris	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella.stercoris
Latilactobacillus.unclassified	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus.unclassified
Lachnospiraceae UCG-009.unclassified	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-009	Lachnospiraceae UCG-009.unclassified
Victivallis.vadensis	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	Victivallis.vadensis
Fusobacterium.hwasookii	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium.hwasookii
